timestamp;ens192_txbyt_MIN;ens192_txbyt_MAX;ens192_txbyt_AVERAGE;ens192_txerrs_MIN;ens192_txerrs_MAX;ens192_txerrs_AVERAGE;ens192_rxbyt_MIN;ens192_rxbyt_MAX;ens192_rxbyt_AVERAGE;ens192_rxerrs_MIN;ens192_rxerrs_MAX;ens192_rxerrs_AVERAGE;|virbr0_txbyt_MIN;|virbr0_txbyt_MAX;|virbr0_txbyt_AVERAGE;virbr0_txerrs_MIN;virbr0_txerrs_MAX;virbr0_txerrs_AVERAGE;virbr0_rxbyt_MIN;virbr0_rxbyt_MAX;virbr0_rxbyt_AVERAGE;virbr0_rxerrs_MIN;virbr0_rxerrs_MAX;virbr0_rxerrs_AVERAGE
1616035380;1980.4;1980.4;1980.4;0;0;0;2332.6;2332.6;2332.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035440;1980.4;1980.4;1980.4;0;0;0;2332.6;2332.6;2332.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035500;1980.4;1980.4;1980.4;0;0;0;2332.6;2332.6;2332.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035560;1980.4;1980.4;1980.4;0;0;0;2332.6;2332.6;2332.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035620;1980.4;1980.4;1980.4;0;0;0;2332.6;2332.6;2332.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035680;788.45;788.45;788.45;0;0;0;1870.9;1870.9;1870.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035740;788.45;788.45;788.45;0;0;0;1870.9;1870.9;1870.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035800;788.45;788.45;788.45;0;0;0;1870.9;1870.9;1870.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035860;788.45;788.45;788.45;0;0;0;1870.9;1870.9;1870.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035920;788.45;788.45;788.45;0;0;0;1870.9;1870.9;1870.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616035980;1995.5;1995.5;1995.5;0;0;0;2562.7;2562.7;2562.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616036040;1995.5;1995.5;1995.5;0;0;0;2562.7;2562.7;2562.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
